Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.287,0.463,0.25,-0.1027,1,Sun Jun 03 20:32:04 +0000 2018,San Diego marathon: 'Active shooter arrested' https://t.co/oZMq4ZQDCS
BBC,0.167,0.833,0.0,-0.34,2,Sun Jun 03 19:45:40 +0000 2018,Dancing FBI agent drops gun during backflip and shoots man in leg https://t.co/Wpiw9CMX2B
BBC,0.0,0.748,0.252,0.4019,3,Sun Jun 03 18:11:52 +0000 2018,Slovenia election: Anti-immigrant SDS party leads - exit poll https://t.co/QCFVDlM4Hw
BBC,0.0,1.0,0.0,0.0,4,Sun Jun 03 16:45:10 +0000 2018,Soyuz space capsule brings ISS crew back after five month mission https://t.co/KJydJK6Igo
BBC,0.0,0.858,0.142,0.1655,5,Sun Jun 03 16:25:39 +0000 2018,"Trump 'could pardon himself over Russia but won't', says Giuliani https://t.co/ZGtVUwqhSl"
BBC,0.386,0.614,0.0,-0.6597,6,Sun Jun 03 15:36:34 +0000 2018,Tunisia boat capsizes killing dozens of migrants https://t.co/sqaXVR8Hno
BBC,0.317,0.683,0.0,-0.8316,7,Sun Jun 03 15:33:34 +0000 2018,"RT @BBCBreaking: A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year on 

htt…"
BBC,0.0,1.0,0.0,0.0,8,Sun Jun 03 15:15:46 +0000 2018,'Shooting incident' at Berlin Cathedral https://t.co/qnqbZA2NFw
BBC,0.0,1.0,0.0,0.0,9,Sun Jun 03 14:14:09 +0000 2018,Italy migrants: Matteo Salvini calls for end to Sicily 'refugee camp' https://t.co/6IvAL3iYkI
BBC,0.494,0.506,0.0,-0.8316,10,Sun Jun 03 13:06:34 +0000 2018,Nigeria: Dozens killed by cattle thieves in Zamfara state https://t.co/MJ3VYheo4n
BBC,0.0,1.0,0.0,0.0,11,Sun Jun 03 13:04:19 +0000 2018,Syria's President Assad 'to visit North Korea' https://t.co/3nXJeObtwf
